MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
27.7,4.2,8.3,0.509,3.8,6.9,0.551,0.4,1.4,0.303,2.2,2.9,0.746,2.4,5.5,8,1.1,0.5,1.1,1.5,2.4,11.1,7.86,0.571,0.535,0.169,0.355,17.7,10.1,4.4,13.3,22.7,6.5,5.5,12,0.199
25.9,5.5,8.7,0.631,5.5,8.7,0.632,0,0,0,3.9,5.3,0.741,2.7,5,7.2,1.1,1,0.7,1.6,2.9,14.9,10,0.665,0.631,0.001,0.612,11.93196481,15.44281525,2.760703812,12.2,24.32961877,11.4,7.6,19,0.29
34.2,5.1,9.5,0.54,4.8,8.7,0.554,0.3,0.8,0.378,4.6,5.8,0.78,2.6,5.6,8.2,0.7,0.8,1.8,1.8,2.2,15.1,7.18,0.616,0.555,0.081,0.617,16.1,5.5,3.3,13.1,23.2,6.2,3.9,10,0.198
26.5,3.8,7.2,0.523,3.2,6.1,0.53,0.5,1.1,0.485,3.2,4.5,0.716,2.4,6.6,9,0.6,0.9,1.4,2.1,2.7,11.3,6.64,0.604,0.56,0.153,0.62,19.4,4.9,5.4,18.6,21.4,1.6,2,3.6,0.182
21,4.7,10.4,0.449,4.3,8.9,0.482,0.4,1.5,0.252,1.9,2.9,0.66,1.842602041,4.091326531,6.5,2.2,1.3,0.5,2.1,2.1,11.7,9.85,0.494,0.467,0.143,0.282,11.93196481,15.44281525,2.760703812,15.4,24.32961877,0.9,3.8,4.7,0.131
27.1,6,11.8,0.508,5.4,10.1,0.535,0.6,1.7,0.349,1.8,2.7,0.68,2.6,4,6.7,0.5,0.4,1.8,1.5,2.2,14.4,7.97,0.551,0.533,0.144,0.229,11.93196481,15.44281525,2.760703812,10.2,24.32961877,2.3,2.9,5.3,0.211
28,6.1,12.7,0.48,6.1,12.3,0.491,0.1,0.4,0.143,3.7,4.9,0.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16,8,0.532,0.482,0.031,0.384,14.6,9.7,4.9,12.3,31.4,2.9,5,7.9,0.213
24.3,3.5,6.9,0.511,3.5,6.9,0.511,0,0,0,1.9,3.1,0.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,2.5,9,8,0.535,0.512,0.004,0.452,13.3,6.6,6.9,16.3,21.1,2.2,6,8.2,0.201
26.3,5.4,8.8,0.608,5.4,8.8,0.608,0,0,0,4.3,6,0.713,2.7,5.8,8.5,0.8,0.5,2.2,3.1,2.8,15.1,1.05,0.643,0.608,0,0.685,21.2,8.1,5.8,20.9,28,9.2,3.1,12.3,0.226
20.5,2,3.5,0.577,2,3.5,0.577,0,0,0,1.5,2.4,0.605,1.6,2.6,4.2,0.6,0.6,2.8,1.2,2.7,5.5,7.24,0.592,0.577,0,0.699,12.2,6.9,9.9,20.5,16.1,2.2,5.4,7.6,0.216
34.8,6.3,11.5,0.551,6.3,11.5,0.553,0,0,0,3.4,5.3,0.635,1.842602041,4.091326531,10.3,1.3,1,2,2,2.6,16,6.18,0.572,0.551,0.003,0.463,11.93196481,15.44281525,2.760703812,12.7,24.32961877,2.7,3.7,6.5,0.116
23.1,3.8,6.1,0.626,3.8,5.9,0.639,0,0.2,0,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,11.4,0.655,0.629,0.029,0.836,20.5,11.5,11.7,21.6,23.4,1.8,1.7,3.4,0.213
35.1,6.2,10.7,0.577,6,10.3,0.588,0.1,0.4,0.321,4.1,5.9,0.689,1.842602041,4.091326531,12.3,2.3,0.5,3.8,2.6,2.4,16.5,9.98,0.613,0.584,0.039,0.552,11.93196481,15.44281525,2.760703812,16.2,24.32961877,9.8,8.4,18.2,0.162
35.1,6.8,11.9,0.571,6.3,10.7,0.591,0.5,1.2,0.387,7.4,9.4,0.786,3.4,5.5,8.8,1.2,0.4,1.7,3.4,2.8,21.4,6.66,0.655,0.59,0.098,0.791,14.6,9.3,3.9,17,27.6,15,5.5,20.5,0.257
24.8,4,6.8,0.587,4,6.7,0.589,0,0,0,3,5,0.596,1.842602041,4.091326531,7.9,0.6,0.4,0.6,1.3,1.9,10.9,8.67,0.598,0.587,0.003,0.737,11.93196481,15.44281525,2.760703812,12.9,24.32961877,7.6,8.5,16.1,0.248
12.8,3.6,6.4,0.553,3.6,6.4,0.555,0,0,0,1.5,2.6,0.581,1.842602041,4.091326531,5.7,0.5,0.8,1.4,1.4,1.3,8.7,9.7,0.562,0.553,0.003,0.409,11.93196481,15.44281525,2.760703812,18.4,24.32961877,3.9,7.9,11.8,0.299
24.4,5.2,9.3,0.553,5.1,9.3,0.553,0,0,0,3.1,5.2,0.6,2.5,5.5,7.2,0.7,0.9,1.6,1.6,3,13.5,9.73,0.571,0.554,0.004,0.558,14.6,5,4.3,12.1,24.4,9,10.9,19.9,0.236
