FG,FG%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,BLK,PTS,PER,TS%,eFG%,FTr,TRB%,BLK%,USG%,WS/40
3.8,0.456,1,2.3,0.443,1.9,2.1,1,3.2,4.2,0.1,12.4,22.9,0.66,0.622,0.245,9.1,0.2,20.2,0.191
3.9,0.432,2.3,5,0.464,2.2,2.9,0.8,1.9,2.8,0.2,11.6,22.9,0.554,0.519,0.325,5.5,0.3,20.8,0.141
5,0.449,3.9,8.3,0.477,3.9,4.9,0.5,2.9,3.4,0.2,15,22.9,0.555,0.498,0.437,6.4,0.3,26.3,0.177
5,0.485,4.7,9.2,0.512,3.9,6.5,1.5,3.6,5.1,0.5,14.3,21.3,0.533,0.5,0.625,9.2,1.6,25.6,0.139
5.1,0.578,5.1,8.8,0.578,2.3,3.6,2.8,5.1,7.9,1.4,12.5,22.9,0.593,0.578,0.405,18,4,24.4,0.185
4.8,0.58,4.8,8.3,0.585,2.9,3.8,2.7,4.8,7.5,1,12.6,22.9,0.62,0.58,0.454,16.1,2.8,22.3,0.201
4.7,0.543,4.7,8.6,0.544,3.5,4.5,2.7,4,6.7,1.1,12.8,27.3,0.597,0.543,0.52,15.1,4.6,24.1,0.231
5,0.466,4,8,0.502,2.8,3.7,0.5,2.6,3.1,0,13.7,22.9,0.551,0.51,0.35,5.7,2.848859935,25.3,0.145
3.6,0.439,1.7,3.3,0.517,0.9,1.2,1.6,3.4,5,0.2,9.9,19.5,0.568,0.555,0.145,10.8,0.8,18.2,0.176
4.2,0.396,3,6.7,0.45,3.1,4.1,1.1,3.4,4.5,0.2,12.7,19.9,0.503,0.453,0.39,7.9,0.6,23.9,0.135
5.8,0.458,3.8,7.8,0.489,6.2,7.4,0.4,2.3,2.7,0.1,19.7,22.9,0.612,0.536,0.59,4.9,0.2,29.2,0.178
6.3,0.484,4.5,8.5,0.532,4.2,5,2.7,6.3,9,0.5,18.7,22.9,0.605,0.554,0.379,17.9,1.1,29.4,0.188
4.7,0.555,4.3,7.3,0.585,2.9,4.3,2.4,3.8,6.2,0.4,12.6,27.5,0.601,0.579,0.514,14.6,1.8,24.5,0.232
4.4,0.411,3.5,8.1,0.429,3.4,4.4,0.8,2.6,3.4,0.2,12.9,21.3,0.511,0.453,0.414,5.7,0.7,21.9,0.18
4.3,0.581,4.3,7.3,0.584,2.8,4,2.2,4.6,6.8,0.9,11.3,22.9,0.609,0.581,0.55,16.3,2.4,23.5,0.227
4.2,0.445,2.3,4.7,0.484,2.2,3.1,0.9,2.9,3.8,0.4,12.6,19.3,0.577,0.548,0.324,8.1,1.4,23.6,0.174
6.3,0.602,6.1,9.8,0.628,5.6,7.9,3,4,7.1,0.8,18.4,22.9,0.647,0.61,0.752,14.7,2.2,29.4,0.293
3.1,0.553,2.8,4.8,0.579,1.9,2.9,2,4.1,6.1,0.9,8.5,25.7,0.603,0.583,0.504,17.7,4.8,21.8,0.208
5.3,0.415,3,5.9,0.504,2.9,3.9,1.3,4.8,6.1,0.4,15.8,24,0.543,0.507,0.307,11.5,1.6,27,0.182
6.6,0.575,6.3,10.8,0.586,3.7,5.1,2.2,5,7.2,2,17.1,27.7,0.616,0.585,0.45,14.9,6,29.1,0.202
4,0.633,4,6.2,0.633,1.6,2.3,1.9,3.6,5.4,0.9,9.5,22.9,0.647,0.633,0.371,12,2.848859935,24.24136808,0.333
6,0.469,4.1,7.8,0.524,3.1,4,1.4,4.4,5.8,0.4,17,22.9,0.58,0.544,0.31,10,0.7,24.8,0.147
4.5,0.521,4.4,8.3,0.528,2.7,3.5,2.6,4.7,7.3,0.4,11.8,26.6,0.575,0.529,0.405,16.6,1.4,24.1,0.18
5.6,0.44,3.2,7.2,0.452,3.5,4.4,0.8,3.1,3.9,0.2,16.9,22.9,0.574,0.531,0.346,6.6,0.3,26.7,0.191
7.2,0.462,4.9,9.1,0.542,6.8,8,0.9,3.5,4.5,0.4,23.3,22.9,0.602,0.533,0.519,7.9,0.7,28.3,0.218
3.8,0.464,3.5,7.3,0.484,3,4.1,1.7,4.6,6.3,0.9,10.8,19.4,0.533,0.479,0.502,14.3,3.5,23.8,0.146
7,0.503,5.7,10.3,0.551,4.2,5.5,1.3,3.8,5.1,0.4,19.7,22.9,0.591,0.552,0.397,9.4,0.9,26.7,0.193
5.4,0.412,3.3,7.5,0.439,2.6,4,1.4,4.2,5.6,0.6,15.4,22.9,0.516,0.492,0.303,7.8,0.7,26,0.121
6.2,0.455,5.3,10.3,0.514,3.7,5.2,1.3,4.1,5.4,0.8,17.1,22.9,0.529,0.489,0.384,10.2,2.2,33.1,0.268
4.2,0.482,3.4,6.5,0.521,2,2.7,1.3,3.2,4.5,0.7,11.2,29.2,0.559,0.529,0.309,12.8,3.3,28.4,0.207
